English,MappedZhcn,SourceZhcn,VanillaZhcn,ProcrastinatorZhcn,PikaManZhcn,MappedZhtw,SourceZhtw,VanillaZhtw,ProcrastinatorZhtw,PikaManZhtw,SkillKey
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_gao_gan_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_gao_gan_4A_description
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_gan_ning_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_gan_ning_4A_description
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_fire_villager_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_fire_villager_4A_description
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_fire_minister_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_fire_minister_4A_description
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_fire_governor_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_fire_governor_4A_description
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_fire_general_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_fire_general_4A_description
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_fire_envoy_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_fire_envoy_4A_description
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_fire_bandit_villager_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_fire_bandit_villager_4A_description
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_fire_bandit_minister_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_fire_bandit_minister_4A_description
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_fire_bandit_governor_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_fire_bandit_governor_4A_description
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_fire_bandit_general_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_fire_bandit_general_4A_description
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_fire_bandit_envoy_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_fire_bandit_envoy_4A_description
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_fire_bandit_agent_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_fire_bandit_agent_4A_description
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_fire_agent_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_fire_agent_4A_description
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_fire_03_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_fire_03_4A_description
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_fire_02_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_fire_02_4A_description
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_fire_01_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_fire_01_4A_description
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_emperor_xian_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_emperor_xian_4A_description
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_earth_villager_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_earth_villager_4A_description
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_earth_minister_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_earth_minister_4A_description
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_earth_governor_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_earth_governor_4A_description
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_earth_general_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_earth_general_4A_description
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_earth_envoy_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_earth_envoy_4A_description
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_earth_bandit_villager_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_earth_bandit_villager_4A_description
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_earth_bandit_minister_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_earth_bandit_minister_4A_description
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_earth_bandit_governor_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_earth_bandit_governor_4A_description
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_earth_bandit_general_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_earth_bandit_general_4A_description
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_earth_bandit_envoy_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_earth_bandit_envoy_4A_description
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_earth_bandit_agent_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_earth_bandit_agent_4A_description
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_earth_agent_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_earth_agent_4A_description
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_earth_03_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_earth_03_4A_description
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_earth_02_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_earth_02_4A_description
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_earth_01_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_earth_01_4A_description
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_dong_zhuo_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_dong_zhuo_4A_description
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_dong_min_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_dong_min_4A_description
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_diao_chan_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_diao_chan_4A_description
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_dian_wei_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_dian_wei_4A_description
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_da_qiao_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_da_qiao_4A_description
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_chunyu_qiong_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_chunyu_qiong_4A_description
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_cheng_pu_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_cheng_pu_4A_description
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_chen_gong_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_chen_gong_4A_description
First Characteristic,个性一,Mapped by pattern,,,,特性一,Mapped by pattern,,,,hv_skill_add_individuality_chen_deng_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,,,超凡脫俗,Mapped by text,,,,hv_skill_add_individuality_chen_deng_4A_description
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_cao_ren_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_cao_ren_4A_description
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_cao_pi_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_cao_pi_4A_description
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_cao_cao_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_cao_cao_4A_description
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_cao_bao_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_cao_bao_4A_description
First Characteristic,个性一,Mapped by pattern,,个性一,,特性一,Mapped by pattern,,個性一,,hv_skill_add_individuality_cao_ang_4A_name
Someone who stands out among the people.,超凡脱俗,Mapped by text,,超凡脱俗,,超凡脫俗,Mapped by text,,超凡脫俗,,hv_skill_add_individuality_cao_ang_4A_description
Zhou the Youth,周郎,Mapped by pattern,,周郎,,周郎,Mapped by pattern,,周郎,,hv_skill_ability_zhou_the_youth_cunning_name
Zhou Yu's zeal is enough to inspire others.,「性度恢廓，实奇才也。」,Procrastinator,,「性度恢廓，实奇才也。」,,「性度恢廓，實奇才也。」,Procrastinator,,「性度恢廓，實奇才也。」,,hv_skill_ability_zhou_the_youth_cunning_description
Sweeping Arc,弧光斩,Vanilla,,,,橫掃千軍,Vanilla,,,,hv_skill_ability_youzansen_resolve_name
Cut down enemies by making an arc with a blade,,Missing,,,,,Missing,,,,hv_skill_ability_youzansen_resolve_description
Sweeping Arc,弧光斩,Vanilla,,,,橫掃千軍,Vanilla,,,,hv_skill_ability_youzansen_instinct_name
Cut down enemies by making an arc with a blade,,Missing,,,,,Missing,,,,hv_skill_ability_youzansen_instinct_description
Sweeping Arc,弧光斩,Vanilla,,,,橫掃千軍,Vanilla,,,,hv_skill_ability_youzansen_expertise_name
Cut down enemies by making an arc with a blade,,Missing,,,,,Missing,,,,hv_skill_ability_youzansen_expertise_description
Xiezhi Roar,獬豸之吼,Vanilla,,獬豸,,獬豸咆嘯,Vanilla,,獬豸,,hv_skill_ability_xiezhi_roar_resolve_name
"The warrior flies into a rage, embodying the mighty Xiezhi, a mythical creature of great power.  ",勇士大发雷霆，犹如神话中强大神兽獬豸的体现。,Mapped by text,,勇士大发雷霆，犹如神话中的神兽獬豸。,,勇士大發雷霆，猶如神話中強大神獸獬豸的體現。  ,Mapped by text,,勇士大發雷霆，猶如神話中的神獸獬豸。,,hv_skill_ability_xiezhi_roar_resolve_description
Courage of Eastern Wu,英武,Mapped by pattern,,英武,,東吳之勇,Mapped by pattern,,英武,,hv_skill_ability_wu_brave_name
Poets will sing about today.,诗人会为此日做歌。,Mapped by text,,今日之战将流芳百世。,,詩人會爲此日做歌。,Mapped by text,,今日之戰將流芳百世。,,hv_skill_ability_wu_brave_description
Wolf,恶狼,Mapped by pattern,,恶狼,,惡狼,Mapped by pattern,,惡狼,,hv_skill_ability_wolf_resolve_name
Carefully approach and go for the throat.,恶狼出击，紧咬咽喉。,Procrastinator,,恶狼出击，紧咬咽喉。,,惡狼出擊，緊咬咽喉。,Procrastinator,,惡狼出擊，緊咬咽喉。,,hv_skill_ability_wolf_resolve_description
Wolf,恶狼,Mapped by pattern,,恶狼,战狼,惡狼,Mapped by pattern,,惡狼,戰狼,hv_skill_ability_wolf_cunning_name
Carefully approach and go for the throat.,恶狼出击，紧咬咽喉。,Procrastinator,,恶狼出击，紧咬咽喉。,谨慎向前，紧咬其咽喉。,惡狼出擊，緊咬咽喉。,Procrastinator,,惡狼出擊，緊咬咽喉。,謹慎向前，緊咬其咽喉。,hv_skill_ability_wolf_cunning_description
Wisdom of the Waterfall,远瞩,Mapped by pattern,,远瞩,飞泉之智,飛泉之智,Mapped by pattern,,遠矚,飛泉之智,hv_skill_ability_wisdom_of_the_waterfall_veteran_name
It is the bear's teeth that the salmon faces at the end of the falls.,层出高瞻之论，真乃奇才也。,Procrastinator,,层出高瞻之论，真乃奇才也。,鲑鱼在瀑布尽头时所面对的就是熊的牙齿。,層出高瞻之論，真乃奇才也。,Procrastinator,,層出高瞻之論，真乃奇才也。,鮭魚在瀑布盡頭時所面對的就是熊的牙齒。,hv_skill_ability_wisdom_of_the_waterfall_veteran_description
Wisdom of the Waterfall,远瞩,Mapped by pattern,,远瞩,,飛泉之智,Mapped by pattern,,遠矚,,hv_skill_ability_wisdom_of_the_waterfall_cunning_name
It is the bear's teeth that the salmon faces at the end of the falls.,层出高瞻之论，真乃奇才也。,Procrastinator,,层出高瞻之论，真乃奇才也。,,層出高瞻之論，真乃奇才也。,Procrastinator,,層出高瞻之論，真乃奇才也。,,hv_skill_ability_wisdom_of_the_waterfall_cunning_description
Wisdom of the Waterfall,远瞩,Mapped by pattern,,远瞩,飞泉之智,飛泉之智,Mapped by pattern,,遠矚,飛泉之智,hv_skill_ability_wisdom_of_the_waterfall_authority_name
It is the bear's teeth that the salmon faces at the end of the falls.,层出高瞻之论，真乃奇才也。,Procrastinator,,层出高瞻之论，真乃奇才也。,鲑鱼在瀑布尽头时所面对的就是熊的牙齿。,層出高瞻之論，真乃奇才也。,Procrastinator,,層出高瞻之論，真乃奇才也。,鮭魚在瀑布盡頭時所面對的就是熊的牙齒。,hv_skill_ability_wisdom_of_the_waterfall_authority_description
Wisdom of the River,水圣,Vanilla,,水圣,水圣,河之智慧,Vanilla,,水聖,河之智慧,hv_skill_ability_wisdom_of_the_river_veteran_name
Knowledge of the enemy weakens their defences.,知敌表里，则彼难守，我易攻,Vanilla,,知敌表里，则彼难守，我易攻,知敌表里，则彼难守，我易攻,了解敵人，就能減弱他們的防禦。,Vanilla,,知敵表裏，則彼難守，我易攻,了解敵人，就能減弱他們的防禦。,hv_skill_ability_wisdom_of_the_river_veteran_description
Wisdom of the River,水圣,Vanilla,,水圣,,河之智慧,Vanilla,,水聖,,hv_skill_ability_wisdom_of_the_river_cunning_name
Knowledge of the enemy weakens their defences.,知敌表里，则彼难守，我易攻,Vanilla,,知敌表里，则彼难守，我易攻。,,了解敵人，就能減弱他們的防禦。,Vanilla,,知敵表裏，則彼難守，我易攻。,,hv_skill_ability_wisdom_of_the_river_cunning_description
Wisdom of the River,水圣,Vanilla,,水圣,水圣,河之智慧,Vanilla,,水聖,河之智慧,hv_skill_ability_wisdom_of_the_river_authority_name
Knowledge of the enemy weakens their defences.,知敌表里，则彼难守，我易攻,Vanilla,,知敌表里，则彼难守，我易攻。,知敌表里，则彼难守，我易攻,了解敵人，就能減弱他們的防禦。,Vanilla,,知敵表裏，則彼難守，我易攻。,了解敵人，就能減弱他們的防禦。,hv_skill_ability_wisdom_of_the_river_authority_description
Wildfire Raider,猛火袭掠,Vanilla,,烈火,,野火劫匪,Vanilla,,烈火,,hv_skill_ability_wildfire_instinct_name
"Gan Ning moves ever faster, as fire spreads through the forest.",甘宁疾冲之势，如野火飞掠林梢,Vanilla,,甘宁疾冲之势，如野火飞掠林梢,,甘寧有如燎原野火，動作越發迅捷。,Vanilla,,甘寧疾衝之勢，如野火飛掠林梢,,hv_skill_ability_wildfire_instinct_description
Whitewater,习谋,Vanilla,,习谋,,激流湧升,Vanilla,,習謀,,hv_skill_ability_whitewater_cunning_name
This legendary presence gives enemies pause.,此人谋略通神，足令敌踌躇待毙,Vanilla,,此人谋略通神，足令敌踌躇待毙。,,此人的傳奇風采使敵人望而卻步。,Vanilla,,此人謀略通神，足令敵躊躇待斃。,,hv_skill_ability_whitewater_cunning_description
Way of the Wind,风道,Vanilla,,风道,,預測風向,Vanilla,,風道,,hv_skill_ability_way_of_the_wind_cunning_name
Zhuge Liang predicts the wind through study of the world.,卧龙饱谙天文地理，风向去留亦可观之,Vanilla,,卧龙饱谙天文地理，风向去留亦可观之。,,諸葛亮對自然萬物觀察細微而能預知風向。,Vanilla,,臥龍飽諳天文地理，風向去留亦可觀之。,,hv_skill_ability_way_of_the_wind_cunning_description
Warning Shot,射缨,Vanilla,,射缨,,警告射擊,Vanilla,,射纓,,hv_skill_ability_warning_shot_expertise_name
The enemy knows the next shot will not miss.,「这下一箭，射的就是汝之心窝！」,Vanilla,,「这下一箭，射的就是汝之心窝！」,,敵人深知下一箭必不失準。,Vanilla,,「這下一箭，射的就是汝之心窩！」,,hv_skill_ability_warning_shot_expertise_description
Warning Shot,射缨,Vanilla,,射缨,,警告射擊,Vanilla,,射纓,,hv_skill_ability_warning_shot_cunning_name
The enemy knows the next shot will not miss.,「这下一箭，射的就是汝之心窝！」,Vanilla,,「这下一箭，射的就是汝之心窝！」,,敵人深知下一箭必不失準。,Vanilla,,「這下一箭，射的就是汝之心窩！」,,hv_skill_ability_warning_shot_cunning_description
Vengeance,睚眦,Vanilla,,睚眦,,有仇必報,Vanilla,,睚眥,,hv_skill_ability_vengeance_resolve_name
"Xiahou Dun fights best in the thick of it, but may lose his composure.",夏侯惇能借此愈战愈勇，但会因此丧失理智,Vanilla,,夏侯惇能借此愈战愈勇，但会因此丧失理智。,,夏侯惇在情況危急時反而能發揮最強實力，不過他也容易因此失去理智。,Vanilla,,夏侯惇能借此愈戰愈勇，但會因此喪失理智。,,hv_skill_ability_vengeance_resolve_description
Veil of Darkness,莫测,Mapped by pattern,,莫测,,莫測,Mapped by pattern,,莫測,,hv_skill_ability_veil_of_darkness_cunning_name
Unease spreads among the enemy ranks.,诡秘莫测，令人胆寒。,Procrastinator,,诡秘莫测，令人胆寒。,,詭祕莫測，令人膽寒。,Procrastinator,,詭祕莫測，令人膽寒。,,hv_skill_ability_veil_of_darkness_cunning_description
Unyielding Earth,坚土,Vanilla,,坚土,,不屈之土,Vanilla,,堅土,,hv_skill_ability_unyielding_earth_authority_name
Nature itself provides a shield for its warriors.,法自然，如佩坚盾，御阻猛攻。,Vanilla,,法自然，如佩坚盾，御阻猛攻。,,大地為它的戰士們提供屏障。,Vanilla,,法自然，如佩堅盾，御阻猛攻。,,hv_skill_ability_unyielding_earth_authority_description
Unstoppable,横行,Vanilla,,横行,,無人可擋,Vanilla,,橫行,,hv_skill_ability_unstoppable_resolve_name
His relentless attack makes foes cower before him!,云长武艺天下绝伦，敌众闻之胆战心惊,Vanilla,,云长武艺天下绝伦，敌众闻之胆战心惊。,,他無止息的瘋狂攻勢令敵人心驚膽寒！,Vanilla,,雲長武藝天下絕倫，敵衆聞之膽戰心驚。,,hv_skill_ability_unstoppable_resolve_description
Undying Vow,守誓,Vanilla,,守誓,,誓死不屈,Vanilla,,守誓,,hv_skill_ability_undying_vow_instinct_name
"To the very bitter end and beyond, if possible, to the very last breath, they will be constant and unswerving.",周泰及义亲视死如归，奋战至血尽身死。,Vanilla,,周泰及义亲视死如归，奋战至血尽身死。,,直到最後的最後，如果可以的話，甚至直到最後一口氣，此人都會穩守陣地、絕不低頭。,Vanilla,,周泰及義親視死如歸，奮戰至血盡身死。,,hv_skill_ability_undying_vow_instinct_description
Turning the Tide,力挽狂澜,Vanilla,,力挽,,力挽狂瀾,Vanilla,,力挽,,hv_skill_ability_turning_the_tide_cunning_name
Upon nearby enemy unit routing nearby own units recieve a morale buff.,敌众溃散之时，三军振奋，追战愈勇。,Vanilla,,敌众溃散之时，三军振奋，追战愈勇。,,周遭敵軍單位潰逃時，賦予周遭我方單位士氣增強效果。,Vanilla,,敵衆潰散之時，三軍振奮，追戰愈勇。,,hv_skill_ability_turning_the_tide_cunning_description
White Tiger,虎威,Mapped by pattern,,虎威,,白虎,Mapped by pattern,,虎威,,hv_skill_ability_tiger_resolve_name
His spirit is like a tiger. It takes great courage to face him.,勇武如猛虎，胆敢与此人对峙之人可称之为有万夫不当之勇。,Procrastinator,,勇武如猛虎，胆敢与此人对峙之人可称之为有万夫不当之勇。,,勇武如猛虎，膽敢與此人對峙之人可稱之爲有萬夫不當之勇。,Procrastinator,,勇武如猛虎，膽敢與此人對峙之人可稱之爲有萬夫不當之勇。,,hv_skill_ability_tiger_resolve_description
White Tiger,虎威,Mapped by pattern,,虎威,白虎,白虎,Mapped by pattern,,虎威,白虎,hv_skill_ability_tiger_expertise_name
His spirit is like a tiger. It takes great courage to face him.,勇武如猛虎，胆敢与此人对峙之人可称之为有万夫不当之勇。,Procrastinator,,勇武如猛虎，胆敢与此人对峙之人可称之为有万夫不当之勇。,此人精神如猛虎，在没有伟大的勇气支持下无人胆敢面对此人。,勇武如猛虎，膽敢與此人對峙之人可稱之爲有萬夫不當之勇。,Procrastinator,,勇武如猛虎，膽敢與此人對峙之人可稱之爲有萬夫不當之勇。,此人精神如猛虎，在沒有偉大的勇氣支持下無人膽敢面對此人。,hv_skill_ability_tiger_expertise_description
The weight on the shoulders,砥柱,Mapped by pattern,,,,身負重擔,Mapped by pattern,,,,hv_skill_ability_the_weight_on_the_shoulders_scholar_name
Someone has to take the first step even if no one wants it.,总有人要付诸行动，就算没有人愿意处理。,PikaMan shortened key,,,,總有人要付諸行動，就算沒有人願意處理。,PikaMan shortened key,,,,hv_skill_ability_the_weight_on_the_shoulders_scholar_description
The weight on the shoulders,砥柱,Mapped by pattern,,砥柱,,身負重擔,Mapped by pattern,,砥柱,,hv_skill_ability_the_weight_on_the_shoulders_authority_name
Someone has to take the first step even if no one wants it.,遭扰攘之时，值兵革之际。,Procrastinator,,遭扰攘之时，值兵革之际。,,遭擾攘之時，值兵革之際。,Procrastinator,,遭擾攘之時，值兵革之際。,,hv_skill_ability_the_weight_on_the_shoulders_authority_description
The Dragon's Gaze,龙视,Vanilla,,龙视,,蛟龍怒目,Vanilla,,龍視,,hv_skill_ability_the_dragon_s_gaze_instinct_name
Lü Bu's furious gaze causes all to cower!,吕布的狂怒凝视，足以让所有人都畏缩不前！,Vanilla,,吕布的狂怒凝视，足以让所有人都畏缩不前！,,呂布怒目一瞪，眾兵卒無不驚懼畏怯！,Vanilla,,呂布的狂怒凝視，足以讓所有人都畏縮不前！,,hv_skill_ability_the_dragon_s_gaze_instinct_description
